"observer","guess"
"o1",115
"o2",137
"o3",128
"o4",136
"o5",160
"o6",134
"o7",136
"o8",119
"o9",126
"o10",113
"o11",121
"o12",64
"o13",122
"o14",148
"o15",146
"o16",168
"o17",161
"o18",91
"o19",112
"o20",125
"o21",104
"o22",160
"o23",126
"o24",136
"o25",123
"o26",132
"o27",107
"o28",113
"o29",154
"o30",156
"o31",NA
"o32",NA
"o33",NA
"o34",NA
"o35",NA
"o36",NA
"o37",NA
"o38",NA
"o39",NA
"o40",NA
"o41",NA
"o42",NA
"o43",NA
"o44",NA
"o45",NA
"o46",NA
"o47",NA
"o48",NA
"o49",NA
"o50",NA
"o51",NA
"o52",NA
"o53",NA
"o54",NA
"o55",NA
"o56",NA
"o57",NA
"o58",NA
"o59",NA
"o60",NA
"o61",NA
"o62",NA
"o63",NA
"o64",NA
"o65",NA
"o66",NA
"o67",NA
"o68",NA
"o69",NA
"o70",NA
"o71",NA
"o72",NA
"o73",NA
"o74",NA
"o75",NA
"o76",NA
"o77",NA
"o78",NA
"o79",NA
"o80",NA
"o81",NA
"o82",NA
"o83",NA
"o84",NA
"o85",NA
"o86",NA
"o87",NA
"o88",NA
"o89",NA
"o90",NA
"o91",NA
"o92",NA
"o93",NA
"o94",NA
"o95",NA
"o96",NA
"o97",NA
"o98",NA
"o99",NA
"o100",NA
